Year,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,"Korea, Republic of",Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,61.9
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,60.9
1975,78.4,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,81.7,,,60.1,62.4
1976,79.2,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,63.4,62.2
1977,81.6,,,,,,,,72.3,,,,,,,,,59.7,,,,,,,,,,,,,,,,,64.2,61.8
1978,80.2,,,,,,,,72.9,,,,,,,,,59.4,,,,,,,,,,,,,,83.4,,,62.5,61
1979,80,,,,,,,,72.8,,,,,,,,,58.7,,,,,,,,,,,,,,,,,61.7,62.4
1980,81.3,,,,,,,,73.4,,,,,,,,,58.3,,,,,,,,,,,,,,87.3,,,63.3,63.4
1981,81.7,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,84.8,,,64.6,64.8
1982,79.2,,,,,,,,74,,,,,,,,,57.8,,,,,,,,,,,,,,86.4,,,64.3,65.3
1983,80.8,,,,,,,,74.4,,,,,,,,,58.1,,,,,,,,,,,,,,85.5,,,65.4,65.7
1984,81.3,,,,,,,,76.6,,,,,,,,,58.1,,,,,,,78.5,,,,,,,84.1,,,64.9,66.6
1985,80.4,,,,,,,,,,,,,,,,,58.3,,,,,,,,,,,,,,83.3,,,64.9,67
1986,81.2,,,,,,,,77.5,,,,,,,,85,58.4,,,,,,,76.9,,,,,,,85,,,65.1,67.8
1987,81.5,,,,,,,,76.4,,,,,,,,87.5,58.8,,,,,,,,,,,,,,85.3,,,65.5,69
1988,81.2,,,,,,,,77,,,,,,,,,59,,,,,,,79.7,,,,,,,82.4,,,66,69.9
1989,81.4,,,,,,,,76.4,,,,74,,,,88.9,59,,,,,,,,,,,,,,80.4,,,66.3,70.6
1990,81.8,,,,,,,,77.1,,,,,,,,,59.4,,,,,,,82.8,,,,,,,81,,,67.3,71.5
1991,84,,,,,,,,78.5,,,,,,,,90,60.1,,,,,,,,,79.9,,,,,80.7,,,68.9,73.4
1992,85.7,,,,,,,,79.7,,72.9,,82.6,,,,,61.1,52.6,,,,,,84.4,,82.8,,,,,80.9,,,70.1,74.9
1993,86.8,,,,,,,,78,,76.9,,92.1,,,,88.5,61.5,52.3,,,,,,,,80,,,,,81.3,,,71.3,76.1
1994,85.6,,,,,,,,76.9,,78.7,,84.8,,74.5,,,62.2,54.2,,,,,,86.6,,81.1,,,,,82.8,,,71.9,76.1
1995,85.5,,,,,,,,77.6,85.4,80.3,,84.2,,,,85.4,62.9,55.6,,,,,,86.3,,79.9,,,,,81.2,,,71.8,75.4
1996,,,,,,81.6,86.3,,79.4,84.4,79.5,,82.2,,,,,63.2,56.5,,,,,,79.5,,79.5,,,,,83.6,74.9,,72.8,76.2
1997,84.7,,,75.3,,81.4,86.5,,78.7,84.6,78.8,,,,78.3,,,63.5,57.6,,,,,,87.2,89.9,81.4,,,,,83.2,,,73.1,76.2
1998,86.8,,,75.1,,77.4,86,,79.2,85.4,79,,84.3,,,,92.3,64.7,57.9,,,,,,88.6,89.9,80.9,,,,,83.1,77.7,,73,76.3
1999,85.7,,84.8,76,,80.8,86.7,,78.3,85.7,78.6,,84.7,,,,,65.4,58.1,,,,,,91.7,89.9,82.4,,,,,83.2,,,73.9,76.5
2000,82.8,76.9,86.4,76.1,,80.9,87.4,,79.6,85.4,79.9,,85.9,,80.3,,92.6,66.1,58.2,,,,,,92.9,89.8,,,,,,84.5,77.8,,73.7,76.9
2001,85.7,77.2,86.8,75.6,,83,88.3,,78.8,84.9,80.7,,86.3,,,71.9,,66.1,59.5,,,,,,91.9,89.3,85.7,,,,,83.4,,,74.4,76.4
2002,85,75.5,88.4,76,,83.9,88.4,76,79.6,84.8,81,,90.9,,,75.5,89,67.5,58.9,80.8,86.9,84.5,,81.3,92.5,89.3,88.7,,79.6,,,84.1,78.8,,75.6,77.9
2003,87,78.9,84.8,77.5,,84.2,89.3,,79.9,84.9,79.7,,98.5,,80.3,75.4,,68,59.9,,,,,,92.6,89.8,,,79.3,,,84,,,75.9,79.4
2004,85.6,77.6,88.2,77.3,,83.7,89.1,,80,85,77.1,86.1,97,80.8,81.8,74.5,93.3,68.9,60.4,,,,,,92.4,90.3,89.4,87,79.1,,87.4,84.7,79.9,,76.6,80.4
2005,84.2,78,88.5,78.8,,83.9,89.3,,81.1,85.6,82.9,83.3,96,86.8,86.2,77.6,,67.2,60.4,,,,83.3,,90.4,90.6,,84,79.9,,87.5,85.6,,,77.9,81
2006,83.3,78.1,89.7,78.8,96,84.5,89.3,71.9,80.6,86,80.5,88.1,99.6,87.6,85.6,78,93.1,67,60.2,91.9,85.8,,81.4,81.7,90.7,90.8,88.6,85.6,82.2,,89.6,85.4,80.7,,78.3,80.8
2007,84.6,78.4,90.1,79.2,,82.9,90.4,,78.6,86,82.7,88.4,96.4,84.1,82,78.8,,68.3,61.8,,,,87.5,,93,90.2,,84.7,82.5,,91.1,83.6,,,78.4,80.2
2008,88.1,79.1,91.1,79.5,,82,89.3,,78.8,85.7,82.1,90.5,97.8,86.7,85,78,88.2,69.3,61,,,,77.8,,92.2,90.8,87,84.4,83.6,,88.2,84.6,80.5,,78.1,79.9
2009,83.6,80.6,92.5,80.2,90.9,84.7,89.3,,80.3,86,82.4,90.4,96.1,84,85.1,79.7,,71.7,61.4,,,,83.3,,92.2,91.3,,86.2,83.6,,92.7,85.1,,,79.3,80.2
2010,86,80.8,93,81.2,,84,90.5,68.5,81.1,85.9,83.1,87.8,93.6,85.7,87.2,79.3,88.9,71.3,60.4,86.7,93,93.5,88.4,79.5,93.2,91.9,92.8,86.5,85.1,88.4,93.9,85.7,81.5,79.9,80.8,81.2
2011,84,81.4,94.2,80.8,84,83.5,91.2,,81.4,,83.4,89.3,93.1,85.9,89.6,78.2,,72.6,63.4,,,,90,,95.8,92.2,,84.8,84.6,,89.4,84.1,,,81.8,82.2
